county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county
48161,Freestone,20441,14.7,"(12.7, 17.0)",11.9,0,0,0.0,No,31.7048148,-96.1490536,59.7,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan
48057,Calhoun,19696,14.7,"(12.8, 16.7)",12.2,0,0,0.0,No,28.4389341,-96.615179,64.9,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48483,Wheeler,4804,14.7,"(13.4, 16.1)",11.8,0,0,0.0,No,35.4011867,-100.2696463,88.9,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48345,Motley,1020,14.7,"(13.2, 16.2)",10.5,0,0,0.0,No,34.0739682,-100.7798314,70.6,NCT06580964,Texas Tech University,Lubbock,Lubbock
48015,Austin,31677,14.7,"(12.8, 16.9)",11.8,0,0,0.0,No,29.8869449,-96.2776993,28.1,NCT05390892,Premier Internal Medicine Associates of Houston,Katy,Fort Bend
48285,Lavaca,20571,14.6,"(12.7, 16.8)",11.1,0,0,0.0,No,29.3842759,-96.9300707,69.8,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays
48055,Caldwell,49859,14.6,"(12.7, 16.7)",13.5,0,0,0.0,No,29.8368146,-97.6198717,19.5,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays
48193,Hamilton,8619,14.6,"(12.4, 16.8)",11.0,0,0,0.0,No,31.7047218,-98.110871,36.1,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath
48499,Wood,47921,14.6,"(12.5, 16.9)",10.6,0,0,0.0,No,32.786361,-95.3819963,42.2,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg
48469,Victoria,91664,14.5,"(12.6, 16.5)",12.9,0,0,0.0,No,28.7962401,-96.9715192,73.5,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48213,Henderson,86158,14.5,"(12.6, 16.7)",11.3,0,0,0.0,No,32.212019,-95.8535323,51.7,NCT07064473,Care United Research,Forney,Kaufman
48383,Reagan,3141,14.5,"(13.1, 15.8)",13.7,0,0,0.0,No,31.365993,-101.5230121,128.9,NCT06112418,Hendrick Health,Abilene,Taylor
48151,Fisher,3612,14.5,"(12.6, 16.5)",10.8,0,0,0.0,No,32.7427333,-100.4021685,43.9,NCT06112418,Hendrick Health,Abilene,Taylor
48325,Medina,54797,14.4,"(12.4, 16.4)",12.4,0,0,0.0,No,29.355588,-99.1101257,37.1,NCT06897475,"Consano Clinical Research, LLC",Shavano Park,Bexar
48363,Palo Pinto,29747,14.4,"(12.3, 16.4)",11.6,0,0,0.0,No,32.7530556,-98.3130539,37.3,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath
48475,Ward,10966,14.4,"(12.5, 16.4)",13.5,0,0,0.0,No,31.5095632,-103.1023092,160.3,NCT06580964,Texas Tech University,Lubbock,Lubbock
48185,Grimes,32384,14.4,"(12.6, 16.5)",12.3,0,0,0.0,No,30.5432074,-95.9854475,35.4,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery
48319,Mason,3931,14.4,"(12.8, 16.0)",9.9,0,0,0.0,No,30.717641,-99.2261174,46.6,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48229,Hudspeth,3451,14.3,"(13.1, 15.5)",17.4,0,0,0.0,No,31.455311,-105.3857766,68.1,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso
48277,Lamar,51127,14.3,"(12.3, 16.6)",11.9,1,1,1.956,Yes,33.6671749,-95.5711481,1.0,NCT07662109,Research Site,Paris,Lamar
48035,Bosque,18996,14.3,"(12.2, 16.6)",10.5,0,0,0.0,No,31.9003042,-97.6342103,37.5,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan
48411,San Saba,5845,14.2,"(12.9, 15.6)",12.0,0,0,0.0,No,31.1550874,-98.817397,38.1,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas
48217,Hill,38101,14.2,"(12.2, 16.3)",11.5,0,0,0.0,No,31.9906425,-97.1322167,30.5,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan
48095,Concho,3297,14.2,"(12.9, 15.6)",12.7,0,0,0.0,No,31.3263782,-99.8639354,77.9,NCT06112418,Hendrick Health,Abilene,Taylor
48379,Rains,12986,14.1,"(11.9, 16.5)",10.3,0,0,0.0,No,32.8703254,-95.7933377,26.1,NCT06112418,"CardioVoyage, LLC",Greenville,Hunt
48219,Hockley,21460,14.1,"(12.2, 16.2)",12.9,0,0,0.0,No,33.6075562,-102.3431848,28.2,NCT06580964,Texas Tech University,Lubbock,Lubbock
48357,Ochiltree,9704,14.1,"(12.9, 15.4)",13.5,0,0,0.0,No,36.2783114,-100.8156536,92.6,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48133,Eastland,18037,14.1,"(12.1, 16.2)",11.4,0,0,0.0,No,32.3270554,-98.8324497,37.5,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath
48333,Mills,4548,14.1,"(11.8, 16.3)",9.9,0,0,0.0,No,31.4951633,-98.5954032,38.5,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas
