nct_id,title,study_status,study_type,phase,facility,facility_status,city,state,zip_code,latitude,longitude
NCT07351045,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight Without Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE3,Elevate Clinical,RECRUITING,McAllen,Texas,78504,26.20341,-98.23001
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,RGV Endocrine Center,RECRUITING,McAllen,Texas,78503,26.20341,-98.23001
NCT05390892,PREvention of CardIovascular and DiabEtic kidNey Disease in Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE4,North Dallas Research Associates,RECRUITING,McKinney,Texas,75069,33.19762,-96.61527
NCT06112418,A Randomized Comparison of Stage-Based Care Versus Risk Factor-Based Care for Prevention of Cardiovascular Events,RECRUITING,INTERVENTIONAL,NA,North Dallas Research Associates - Kerlo Network,RECRUITING,McKinney,Texas,75069,33.19762,-96.61527
NCT07228117,GATEWAY: Safety Evaluation of the MiniMed™ NMX8-AID System in Children and Adults Living With Diabetes,RECRUITING,INTERVENTIONAL,NA,Tekton Research,RECRUITING,McKinney,Texas,75069,33.19762,-96.61527
NCT07271186,Study to Assess the Effects of Angiopoietin-like Protein 3 (ANGPTL3) Inhibition in Adult Participants With Diabetic Kidney Disease,RECRUITING,INTERVENTIONAL,PHASE2,Sunbeam Clinical Research,RECRUITING,McKinney,Texas,75069,33.19762,-96.61527
NCT07521475,Evaluation of the Fully Closed Loop Omnipod® System in Type 2 Diabetes,RECRUITING,INTERVENTIONAL,NA,Tekton Research,NOT_YET_RECRUITING,McKinney,Texas,75072,33.19762,-96.61527
NCT07546929,HP-211 Safety and Proof of Concept Dose Ranging Study in Patients With Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE2,Tekton Research,RECRUITING,McKinney,Texas,75069,33.19762,-96.61527
NCT07662109,A Phase III Study to Investigate the Efficacy and Safety of the Combination of Elecoglipron and Dapagliflozin in Adults With Type 2 Diabetes Mellitus,RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,McKinney,Texas,75069,33.19762,-96.61527
NCT06112418,A Randomized Comparison of Stage-Based Care Versus Risk Factor-Based Care for Prevention of Cardiovascular Events,RECRUITING,INTERVENTIONAL,NA,SMS Clinical Research,RECRUITING,Mesquite,Texas,75149,32.7668,-96.59916
NCT06897475,A Study of LY3457263 Compared With Placebo in Participants With Type 2 Diabetes on a Stable Dose of Semaglutide or Tirzepatide,RECRUITING,INTERVENTIONAL,PHASE2,Southern Endocrinology Associates,RECRUITING,Mesquite,Texas,75149,32.7668,-96.59916
NCT07064473,"EASi-PROTKT™ - A Study to Test Vicadrostat (BI 690517) Taken Together With Empagliflozin in People With Type 2 Diabetes, High Blood Pressure, and Cardiovascular Disease",RECRUITING,INTERVENTIONAL,PHASE3,Southern Endocrinology Associates,RECRUITING,Mesquite,Texas,75149,32.7668,-96.59916
